Timestamp,Bearing_1_RMS,Bearing_2_RMS,Bearing_3_RMS,Bearing_4_RMS,Bearing_1_P2P
2004-02-12 10:32:39,0.07417899856512641,0.0909438869642825,0.10940413919879155,0.05410346803954619,0.8400000000000001
2004-02-12 10:42:39,0.0753824568113952,0.09341888819652742,0.10981733168262198,0.05610085870694132,0.757
2004-02-12 10:52:39,0.07622977446919957,0.09371789788917596,0.10986104971344977,0.05614521924911498,0.903
2004-02-12 11:02:39,0.07872367646603015,0.09294709910708425,0.11066653439923892,0.056807430243404976,1.184
2004-02-12 11:12:39,0.0784742907367801,0.09534796855424969,0.10750559987231695,0.05684094146786362,0.782
2004-02-12 11:22:39,0.07831464139380748,0.09240471945595975,0.11051722747318547,0.05556592676089205,0.8049999999999999
2004-02-12 11:32:39,0.07863244325857206,0.0939184853198023,0.10738791213109324,0.05627907668624461,0.796
2004-02-12 11:42:39,0.07777288022464862,0.09324051612714591,0.10623263552959085,0.055504684223073274,0.749
2004-02-12 11:52:39,0.07902942984262298,0.09585924383650529,0.11058641872246237,0.055855098612531094,0.747
2004-02-12 12:02:39,0.07571755989830327,0.09474187125009226,0.10977074854590645,0.055459613243979744,0.722
2004-02-12 12:12:39,0.07924111648011849,0.0951461052679329,0.10602371468766919,0.05552349455199629,0.815
2004-02-12 12:22:39,0.07763890808626901,0.0933290672562529,0.10460412281438064,0.05477416302917673,0.913
2004-02-12 12:32:39,0.07740458087623138,0.09438051851622221,0.10442234914975573,0.05468983164672233,0.778
2004-02-12 12:42:39,0.07986468720103294,0.09484019788447272,0.10489408069125206,0.05625401678366459,0.852
2004-02-12 12:52:39,0.07921698007145116,0.09478245161825034,0.10366273438415727,0.05563200491356644,0.8049999999999999
2004-02-12 13:02:39,0.07866177721938732,0.09463108158297018,0.10472389176238493,0.05632287423515731,0.725
2004-02-12 13:12:39,0.07845338360094839,0.09569390236174437,0.10870793053019033,0.05617960656109417,0.8200000000000001
2004-02-12 13:22:39,0.07762277416041902,0.0929425740460897,0.10421540638377214,0.05482994306261813,0.849
2004-02-12 13:32:39,0.07782555832949042,0.0949667977546973,0.10522980038312468,0.05562626534726498,0.761
2004-02-12 13:42:39,0.0789331606338952,0.09547548411192541,0.10676083037492833,0.05476391892848974,0.874
2004-02-12 13:52:39,0.0790285478605875,0.09566555793288244,0.10561785917985052,0.055347013420158395,0.8029999999999999
2004-02-12 14:02:39,0.07936328499916957,0.09608866576997219,0.10640429169453622,0.05524700925163242,0.742
2004-02-12 14:12:39,0.07948672040475169,0.09433478732477057,0.10652850378720778,0.05475291177331302,0.6859999999999999
2004-02-12 14:22:39,0.07975294340914277,0.09627197243113718,0.10519049149972436,0.056647611207081776,0.759
2004-02-12 14:32:39,0.07938138784581789,0.0967415088328185,0.10800230439165011,0.056104046321738946,0.85
2004-02-12 14:42:39,0.07759187944533502,0.09475114455525896,0.10659309792566811,0.055499780932844175,0.7130000000000001
2004-02-12 14:52:39,0.07774099563514603,0.09624643586136536,0.10562862258026245,0.055218083700705085,0.732
2004-02-12 15:02:39,0.07751394405806944,0.09513670186114277,0.10745514484796559,0.05549451030352529,0.769
2004-02-12 15:12:39,0.07827954401833741,0.09468349104549768,0.10655456096709834,0.05516388093458955,0.735
2004-02-12 15:22:39,0.07886118143611615,0.09587704859488486,0.10490864841241249,0.055247361892616226,0.871
2004-02-12 15:32:39,0.07858236746600702,0.09492215432057828,0.10487340000828278,0.05443486646901926,0.803
